Coordinate	4radar_woffset	2radar_angled	1radar	2radar_opp	4radar_nooffset
H5	14:12:37	17:09:58	14:13:57	14:28:18	14:38:52
H6	14:12:40	17:10:01	14:14:00	14:28:21	14:38:55
H7	14:12:43	17:10:04	14:14:03	14:28:24	14:38:58
H8	14:12:46	17:10:07	14:14:06	14:28:27	14:39:01
H9	14:12:49	17:10:10	14:14:09	14:28:30	14:39:04
H10	14:12:52	17:10:13	14:14:12	14:28:33	14:39:07
H11	14:12:55	17:10:16	14:14:15	14:28:36	14:39:10
H12	14:12:58	17:10:19	14:14:18	14:28:39	14:39:13
H13	14:13:01	17:10:22	14:14:21	14:28:42	14:39:16
I13	14:13:04	17:10:25	14:14:24	14:28:45	14:39:19
I12	14:13:07	17:10:28	14:14:27	14:28:48	14:39:22
I11	14:13:10	17:10:31	14:14:30	14:28:51	14:39:25
I10	14:13:13	17:10:34	14:14:33	14:28:54	14:39:28
I9	14:13:16	17:10:37	14:14:36	14:28:57	14:39:31
I8	14:13:19	17:10:40	14:14:39	14:29:00	14:39:34
I7	14:13:22	17:10:43	14:14:42	14:29:03	14:39:37
I6	14:13:25	17:10:46	14:14:45	14:29:06	14:39:40
I5	14:13:28	17:10:49	14:14:48	14:29:09	14:39:43
I4	14:13:31	17:10:52	14:14:51	14:29:12	14:39:46
I3	14:13:34	17:10:55	14:14:54	14:29:15	14:39:49
I2	14:13:37	17:10:58	14:14:57	14:29:18	14:39:52
I1	14:13:40	17:11:01	14:15:00	14:29:21	14:39:55
J1	14:13:43	17:11:04	14:15:03	14:29:24	14:39:58
J2	14:13:46	17:11:07	14:15:06	14:29:27	14:40:01
J3	14:13:49	17:11:10	14:15:09	14:29:30	14:40:04
J4	14:13:52	17:11:13	14:15:12	14:29:33	14:40:07
J5	14:13:55	17:11:16	14:15:15	14:29:36	14:40:10
J6	14:13:58	17:11:19	14:15:18	14:29:39	14:40:13
J7	14:14:01	17:11:22	14:15:21	14:29:42	14:40:16
J8	14:14:04	17:11:25	14:15:24	14:29:45	14:40:19
J9	14:14:07	17:11:28	14:15:27	14:29:48	14:40:22
J10	14:14:10	17:11:31	14:15:30	14:29:51	14:40:25
J11	14:14:13	17:11:34	14:15:33	14:29:54	14:40:28
J12	14:14:16	17:11:37	14:15:36	14:29:57	14:40:31
J13	14:14:19	17:11:40	14:15:39	14:30:00	14:40:34
K13	14:14:22	17:11:43	14:15:42	14:30:03	14:40:37
K12	14:14:25	17:11:46	14:15:45	14:30:06	14:40:40
K11	14:14:28	17:11:49	14:15:48	14:30:09	14:40:43
K10	14:14:31	17:11:52	14:15:51	14:30:12	14:40:46
K9	14:14:34	17:11:55	14:15:54	14:30:15	14:40:49
K8	14:14:37	17:11:58	14:15:57	14:30:18	14:40:52
K7	14:14:40	17:12:01	14:16:00	14:30:21	14:40:55
K6	14:14:43	17:12:04	14:16:03	14:30:24	14:40:58
K5	14:14:46	17:12:07	14:16:06	14:30:27	14:41:01
K4	14:14:49	17:12:10	14:16:09	14:30:30	14:41:04
K3	14:14:52	17:12:13	14:16:12	14:30:33	14:41:07
K2	14:14:55	17:12:16	14:16:15	14:30:36	14:41:10
K1	14:14:58	17:12:19	14:16:18	14:30:39	14:41:13
L1	14:15:01	17:12:22	14:16:21	14:30:42	14:41:16
L2	14:15:04	17:12:25	14:16:24	14:30:45	14:41:19
L3	14:15:07	17:12:28	14:16:27	14:30:48	14:41:22
L4	14:15:10	17:12:31	14:16:30	14:30:51	14:41:25
L5	14:15:13	17:12:34	14:16:33	14:30:54	14:41:28
L6	14:15:16	17:12:37	14:16:36	14:30:57	14:41:31
L7	14:15:19	17:12:40	14:16:39	14:31:00	14:41:34
L8	14:15:22	17:12:43	14:16:42	14:31:03	14:41:37
L9	14:15:25	17:12:46	14:16:45	14:31:06	14:41:40
L10	14:15:28	17:12:49	14:16:48	14:31:09	14:41:43
L11	14:15:31	17:12:52	14:16:51	14:31:12	14:41:46
L12	14:15:34	17:12:55	14:16:54	14:31:15	14:41:49
