Script started on 2024-04-23 14:06:52+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:07:22 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:23 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:24 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:25 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:26 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:27 []
14:07:28 []
14:08:07 [(-2697.0, -1845.5)]
14:08:07 [(-2697.0, -1845.5)]
14:08:07 [(-2699.5, -1844.5)]
14:08:08 [(-2699.5, -1846.0)]
14:08:08 [(-2698.0, -1849.0)]
14:08:08 [(-2699.0, -1849.5)]
14:08:08 [(-2701.0, -1849.5)]
14:08:08 [(-2704.5, -1849.0)]
14:08:08 [(-2710.5, -1845.5)]
14:08:08 [(-2728.5, -1841.0)]
14:08:08 [(-2727.0, -1828.0)]
14:08:08 [(-2725.5, -1821.5)]
14:08:08 [(-2724.5, -1819.0)]
14:08:08 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:09 []
14:08:10 []
14:08:10 []
14:08:10 []
14:08:10 []
14:08:10 [(-2785.0, -1705.0)]
14:08:10 [(-2801.5, -1665.5)]
14:08:10 [(-2809.0, -1634.0)]
14:08:10 [(-2810.0, -1622.0)]
14:08:10 [(-2811.5, -1611.5)]
14:08:10 [(-2813.5, -1599.5)]
14:08:10 [(-2814.0, -1587.5)]
14:08:10 [(-2812.0, -1565.5)]
14:08:11 [(-2809.5, -1556.0)]
14:08:11 [(-2806.0, -1547.5)]
14:08:11 [(-2802.5, -1536.5)]
14:08:11 [(-2803.5, -1525.0)]
14:08:11 [(-2807.0, -1519.0)]
14:08:11 [(-2808.5, -1515.0)]
14:08:11 [(-2809.5, -1508.5)]
14:08:11 [(-2812.0, -1502.0)]
14:08:11 [(-2814.5, -1494.5)]
14:08:11 [(-2813.5, -1484.5)]
14:08:11 [(-2811.5, -1475.5)]
14:08:12 [(-2814.5, -1468.5)]
14:08:12 [(-2819.5, -1462.0)]
14:08:12 [(-2822.0, -1454.5)]
14:08:12 [(-2824.0, -1445.0)]
14:08:12 [(-2831.0, -1424.0)]
14:08:12 [(-2831.5, -1398.5)]
14:08:12 [(-2835.0, -1376.5)]
14:08:12 [(-2842.0, -1356.5)]
14:08:12 [(-2851.0, -1344.0)]
14:08:12 [(-2853.0, -1332.0)]
14:08:12 [(-2855.0, -1320.5)]
14:08:13 [(-2854.5, -1311.0)]
14:08:13 [(-2858.5, -1302.0)]
14:08:13 [(-2864.5, -1290.0)]
14:08:13 [(-2867.0, -1272.5)]
14:08:13 [(-2862.5, -1252.0)]
14:08:13 [(-2853.5, -1228.0)]
14:08:13 []
14:08:13 []
14:08:13 []
14:08:13 []
14:08:13 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:14 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:15 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:16 []
14:08:17 []
14:08:17 []
14:08:17 []
14:08:17 [(-2896.0, -602.5)]
14:08:17 []
14:08:17 []
14:08:17 []
14:08:17 []
14:08:17 []
14:08:17 []
14:08:17 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:18 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:19 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:20 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:21 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:22 []
14:08:23 []
14:08:23 []
14:08:23 [(-2826.0, 178.0)]
14:08:23 [(-2805.0, 378.0)]
14:08:23 [(-2801.67, 401.67)]
14:08:23 [(-2811.67, 366.33)]
14:08:23 [(-2808.67, 365.33)]
14:08:23 [(-2810.0, 352.33)]
14:08:23 [(-2806.33, 362.0)]
14:08:23 [(-2805.33, 387.0)]
14:08:23 [(-2804.33, 410.33)]
14:08:24 [(-2795.67, 434.33)]
14:08:24 [(-2789.67, 448.33)]
14:08:24 [(-2782.0, 466.33)]
14:08:24 [(-2777.0, 483.67)]
14:08:24 [(-2773.0, 497.0)]
14:08:24 [(-2766.0, 510.0)]
14:08:24 [(-2763.0, 517.67)]
14:08:24 [(-2759.0, 521.0)]
14:08:24 [(-2753.33, 522.67)]
14:08:24 [(-2739.0, 539.33)]
14:08:24 [(-2769.5, 748.5)]
14:08:25 [(-2762.0, 757.0)]
14:08:25 [(-2756.0, 762.5)]
14:08:25 [(-2751.5, 767.5)]
14:08:25 [(-2747.0, 774.0)]
14:08:25 [(-2744.0, 782.5)]
14:08:25 [(-2742.0, 792.0)]
14:08:25 [(-2738.5, 804.5)]
14:08:25 [(-2737.5, 817.5)]
14:08:25 [(-2739.5, 831.0)]
14:08:25 [(-2753.5, 870.0)]
14:08:25 [(-2766.5, 911.5)]
14:08:26 [(-2785.0, 946.0)]
14:08:26 [(-2798.5, 979.5)]
14:08:26 [(-2811.5, 1014.5)]
14:08:26 [(-2837.0, 1050.5)]
14:08:26 [(-2904.0, 888.67)]
14:08:26 [(-2932.0, 925.33)]
14:08:26 [(-2944.33, 949.67)]
14:08:26 [(-2944.0, 967.0)]
14:08:26 [(-2946.67, 981.33)]
14:08:26 [(-2947.0, 1004.67)]
14:08:26 [(-2944.67, 1038.33)]
14:08:27 [(-2941.67, 1070.0)]
14:08:27 [(-2939.0, 1099.33)]
14:08:27 [(-2932.33, 1121.33)]
14:08:27 [(-2928.0, 1139.0)]
