Script started on 2024-04-29 14:55:11+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
^[[B^[[DConfig updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '2', 'radar1_en': 'True', 'radar2_en': 'True', 'radar3_en': 'True', 'radar4_en': 'True', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:56:03 [(1540.75, 1844.0)]
14:56:03 [(1552.0, 1865.25)]
14:56:03 [(1572.25, 1899.0)]
14:56:03 [(1599.75, 1939.0)]
14:56:03 [(1486.0, 1920.0)]
14:56:04 [(1489.67, 1947.0)]
14:56:04 [(1480.67, 1967.33)]
14:56:04 [(889.0, 1914.67)]
14:56:05 [(898.75, 1961.75)]
14:56:05 [(803.5, 1995.0)]
14:56:05 [(714.5, 2009.5)]
14:56:05 [(633.0, 2008.25)]
14:56:05 [(563.5, 2022.75)]
14:56:05 [(495.25, 2029.25)]
14:56:05 [(424.0, 2031.25)]
14:56:05 [(354.5, 2026.75)]
14:56:05 [(279.0, 2018.75)]
14:56:05 [(85.67, 1914.33)]
14:56:05 [(6.0, 1896.67)]
14:56:06 [(12.5, 1988.0)]
14:56:06 [(-61.0, 1991.75)]
14:56:06 [(-211.0, 1869.67)]
14:56:06 [(-467.5, 2024.5)]
14:56:06 [(-552.0, 2032.0)]
14:56:06 [(-490.67, 2147.33)]
14:56:06 [(-590.67, 2146.67)]
14:56:06 [(-699.67, 2145.67)]
14:56:06 [(-814.0, 2127.67)]
14:56:06 [(-928.33, 2110.67)]
14:56:07 [(-1024.67, 2098.33)]
14:56:07 [(-1100.67, 2100.67)]
14:56:07 [(-1160.33, 2095.33)]
14:56:07 [(-1209.33, 2082.67)]
14:56:07 [(-1271.0, 2045.67)]
Connected to MQTT broker.
14:56:13 [(-1964.75, -1737.5)]
14:56:13 [(-1963.5, -1794.25)]
14:56:13 [(-1959.5, -1854.75)]
14:56:13 [(-1949.75, -1871.75)]
14:56:13 [(-1941.75, -1874.5)]
14:56:13 [(-1934.5, -1872.5)]
14:56:13 [(-1928.5, -1876.75)]
14:56:13 [(-1925.25, -1874.75)]
14:56:13 [(-1925.25, -1878.25)]
14:56:13 [(-1921.25, -1884.0)]
14:56:14 [(-1912.25, -1887.5)]
14:56:14 [(-1854.5, -1900.75)]
14:56:14 [(-1819.25, -1905.25)]
14:56:14 [(-1505.0, -2027.5)]
14:56:15 [(-1280.0, -2023.0)]
14:56:15 [(-1194.0, -2018.0)]
14:56:15 [(-1085.75, -1997.5)]
14:56:15 [(-997.75, -1987.75)]
14:56:15 [(-909.75, -1994.75)]
14:56:15 [(-816.25, -2007.5)]
14:56:15 [(-729.5, -2020.25)]
14:56:15 [(-631.5, -2037.25)]
14:56:15 [(-550.75, -2042.75)]
14:56:15 [(-473.0, -2049.25)]
14:56:15 [(-386.5, -2057.25)]
14:56:16 [(-256.5, -2097.0)]
14:56:16 [(-139.75, -2140.75)]
14:56:16 [(-23.0, -2178.0)]
14:56:16 [(93.75, -2208.25)]
14:56:16 [(206.25, -2207.0)]
14:56:16 [(319.0, -2179.25)]
14:56:16 [(428.75, -2146.25)]
14:56:16 [(563.25, -2131.75)]
14:56:16 [(664.25, -2095.5)]
14:56:17 [(757.5, -2057.25)]
Connected to MQTT broker.
14:56:22 [(2561.67, 907.33)]
14:56:22 [(2554.67, 1015.33)]
14:56:22 [(2541.67, 1124.33)]
14:56:22 [(2618.25, 1081.5)]
14:56:22 [(2608.75, 1157.25)]
14:56:22 [(2587.5, 1221.0)]
14:56:22 [(2565.25, 1276.5)]
14:56:22 [(2525.0, 1322.25)]
14:56:22 [(2480.5, 1360.0)]
14:56:23 [(2427.25, 1402.0)]
14:56:23 [(2387.5, 1434.75)]
14:56:23 [(2388.0, 1622.67)]
14:56:23 [(2432.67, 1680.67)]
14:56:23 [(2429.0, 1553.5)]
14:56:23 [(2389.5, 1579.0)]
14:56:23 [(2284.5, 1638.5)]
14:56:23 [(2248.5, 1663.0)]
14:56:23 [(2252.0, 1677.0)]
14:56:23 [(2250.5, 1682.5)]
14:56:23 []
14:56:24 []
14:56:24 [(2200.5, 1726.0)]
14:56:24 [(2138.5, 1774.5)]
14:56:24 [(2074.0, 1824.5)]
14:56:24 [(2012.0, 1872.0)]
14:56:24 [(1954.5, 1916.5)]
14:56:24 [(1932.0, 1951.0)]
14:56:24 [(1947.0, 1962.0)]
14:56:24 [(1957.0, 1965.0)]
14:56:24 [(1963.0, 1961.0)]
14:56:24 [(1977.5, 1956.0)]
14:56:25 [(1992.0, 1954.0)]
14:56:25 [(1996.0, 1952.5)]
14:56:25 [(2000.5, 1950.0)]
14:56:25 [(2000.0, 1944.5)]
14:56:25 [(1997.5, 1938.5)]
14:56:25 [(2102.33, 2045.67)]
14:56:25 [(2085.0, 2039.0)]
14:56:25 [(2068.67, 2031.33)]
14:56:25 [(2059.0, 2029.33)]
14:56:25 [(2047.67, 2029.0)]
14:56:25 [(2027.67, 2026.67)]
14:56:26 [(1991.33, 2013.33)]
14:56:26 [(1955.33, 1998.67)]
14:56:26 [(1899.67, 1983.0)]
14:56:26 [(1849.67, 1973.0)]
14:56:26 [(1791.0, 1970.33)]
14:56:26 [(1741.25, 1944.5)]
14:56:26 [(1707.25, 1930.25)]
14:56:26 [(1672.0, 1916.75)]
14:56:26 [(1638.75, 1893.0)]
14:56:26 [(1609.75, 1862.75)]
14:56:26 [(1578.5, 1828.5)]
14:56:26 [(1372.8, 1717.6)]
14:56:27 [(1144.0, 1567.0)]
14:56:27 [(1074.5, 1488.25)]
14:56:27 [(1008.5, 1410.25)]
14:56:27 [(948.75, 1334.5)]
14:56:27 [(881.75, 1248.25)]
14:56:27 [(823.5, 1160.75)]
14:56:27 [(765.5, 1079.5)]
14:56:27 [(699.5, 997.25)]
14:56:27 [(616.25, 916.5)]
14:56:27 [(533.5, 842.5)]
14:56:27 [(455.75, 768.25)]
14:56:28 [(417.33, 564.0)]
14:56:28 [(254.0, 621.75)]
14:56:28 [(142.5, 541.5)]
14:56:28 [(5.5, 431.0)]
14:56:28 [(-113.0, 345.0)]
14:56:28 [(-234.0, 260.0)]
14:56:28 [(-350.5, 180.0)]
14:56:28 [(-462.0, 106.25)]
14:56:28 [(-560.75, 43.25)]
14:56:28 [(-648.25, -19.75)]
14:56:28 [(-715.0, -71.25)]
14:56:29 [(-763.5, -113.25)]
14:56:29 [(-809.0, -155.0)]
14:56:29 [(-852.75, -180.25)]
14:56:29 [(-893.5, -198.25)]
14:56:29 [(-925.25, -219.5)]
14:56:29 [(-939.5, -261.5)]
14:56:29 [(-949.25, -311.0)]
14:56:29 [(-953.0, -343.0)]
14:56:29 [(-956.25, -363.75)]
14:56:29 [(-960.75, -382.25)]
14:56:29 [(-960.25, -396.75)]
14:56:30 [(-953.25, -415.75)]
14:56:30 [(-950.0, -428.5)]
14:56:30 [(-941.5, -431.75)]
14:56:30 [(-926.5, -438.5)]
14:56:30 [(-908.75, -445.0)]
14:56:30 [(-890.0, -448.75)]
14:56:30 [(-874.25, -446.25)]
14:56:30 [(-850.75, -437.0)]
14:56:30 [(-824.25, -426.75)]
14:56:30 [(-784.5, -416.25)]
14:56:30 [(-750.5, -407.75)]
14:56:31 [(-707.5, -397.75)]
14:56:31 [(-660.5, -373.25)]
14:56:31 [(-565.0, -319.0)]
14:56:31 [(-502.25, -290.5)]
14:56:31 [(-435.0, -265.5)]
14:56:31 [(-369.75, -243.0)]
14:56:31 [(-310.25, -222.5)]
14:56:31 [(-262.75, -198.25)]
14:56:31 [(-219.75, -182.5)]
14:56:31 [(-190.0, -174.0)]
14:56:31 [(-158.75, -166.0)]
14:56:32 [(-143.0, -164.25)]
14:56:32 [(-126.75, -162.25)]
14:56:32 [(-113.75, -163.0)]
14:56:32 [(-107.0, -166.0)]
14:56:32 [(-101.5, -166.5)]
14:56:32 [(-97.25, -165.5)]
14:56:32 [(-91.25, -159.25)]
14:56:32 [(-84.5, -152.25)]
14:56:32 [(-80.25, -146.75)]
14:56:32 [(-76.5, -143.75)]
14:56:32 [(-73.0, -139.0)]
14:56:33 [(-71.25, -133.5)]
14:56:33 [(-72.25, -131.75)]
14:56:33 [(-70.5, -131.25)]
14:56:33 [(-69.25, -128.25)]
