Script started on 2024-04-23 14:39:30+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'False', 'radar2_en': 'True', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '-1000.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '-3000.0', 'radar2_a': '-45.0', 'radar3_x': '-3000.0', 'radar3_y': '3000.0', 'radar3_a': '-135.0', 'radar4_x': '3000.0', 'radar4_y': '-1000.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:40:35 [(-852.52, -801.61)]
14:40:35 [(-832.72, -726.65)]
14:40:35 [(-805.14, -653.82)]
14:40:35 [(-741.5, -615.64)]
14:40:35 [(-699.07, -564.72)]
14:40:35 [(-662.3, -519.47)]
14:40:35 [(-634.02, -472.8)]
14:40:35 [(-585.23, -426.84)]
14:40:36 [(-534.32, -380.17)]
14:40:36 [(-486.94, -322.89)]
14:40:36 [(-462.9, -256.43)]
14:40:36 [(-433.2, -206.93)]
14:40:36 [(-406.33, -167.33)]
14:40:36 [(-383.7, -131.97)]
14:40:36 [(-339.86, -102.28)]
14:40:36 [(-293.9, -81.77)]
14:40:36 [(-272.69, -69.04)]
14:40:36 [(-258.55, -39.34)]
14:40:36 [(-273.4, -14.6)]
14:40:37 [(-275.52, -3.99)]
14:40:37 [(-269.15, 12.27)]
14:40:37 [(-250.06, 29.95)]
14:40:37 [(-226.73, 73.09)]
14:40:37 [(-197.74, 93.59)]
14:40:37 [(-175.11, 95.01)]
14:40:37 [(-175.11, 96.42)]
14:40:37 [(-172.28, 97.83)]
14:40:37 [(-167.33, 99.96)]
14:40:37 [(-161.67, 101.37)]
14:40:37 [(-148.24, 100.66)]
14:40:38 [(-139.75, 102.08)]
14:40:38 [(-146.82, 106.32)]
14:40:38 [(-148.95, 105.61)]
14:40:38 [(-153.19, 104.2)]
14:40:38 [(-157.43, 101.37)]
14:40:38 [(-158.14, 99.25)]
14:40:38 [(-158.14, 97.83)]
14:40:38 [(-157.43, 97.13)]
14:40:38 [(-156.72, 97.83)]
14:40:38 [(-154.6, 101.37)]
14:40:38 [(-157.43, 105.61)]
14:40:38 [(-158.84, 108.44)]
14:40:39 [(-158.84, 108.44)]
14:40:39 [(-159.55, 103.49)]
14:40:39 [(-160.26, 101.37)]
14:40:39 [(-164.5, 101.37)]
14:40:39 [(-168.74, 102.78)]
14:40:39 [(-170.87, 106.32)]
14:40:39 [(-171.57, 108.44)]
14:40:39 [(-171.57, 105.61)]
14:40:39 [(-169.45, 103.49)]
14:40:39 [(-170.16, 99.96)]
14:40:39 [(-171.57, 98.54)]
14:40:40 [(-172.99, 98.54)]
14:40:40 [(-173.69, 96.42)]
14:40:40 [(-174.4, 90.06)]
14:40:40 [(-174.4, 78.74)]
14:40:40 [(-170.16, 67.43)]
14:40:40 [(-168.04, 58.24)]
14:40:40 [(-167.33, 50.46)]
14:40:40 [(-166.62, 45.51)]
14:40:40 [(-167.33, 40.56)]
Disconnected from MQTT broker, return code 0
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'False', 'radar2_en': 'False', 'radar3_en': 'True', 'radar4_en': 'False', 'radar1_x': '-1000.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '-3000.0', 'radar2_a': '-45.0', 'radar3_x': '-3000.0', 'radar3_y': '3000.0', 'radar3_a': '-135.0', 'radar4_x': '3000.0', 'radar4_y': '-1000.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:40:50 [(-132.68, -75.21)]
14:40:50 [(-139.05, -84.4)]
14:40:50 [(-144.7, -92.89)]
14:40:50 [(-141.87, -90.06)]
14:40:51 [(-136.92, -85.11)]
14:40:51 [(-138.34, -82.28)]
14:40:51 [(-137.63, -74.5)]
14:40:51 [(-134.1, -65.31)]
14:40:51 [(-131.27, -59.65)]
14:40:51 [(-133.39, -60.36)]
14:40:51 [(-134.1, -61.07)]
14:40:51 [(-132.68, -55.41)]
14:40:51 [(-128.44, -52.58)]
14:40:51 [(-120.66, -47.63)]
14:40:51 [(-111.47, -41.27)]
14:40:51 [(-102.98, -31.37)]
14:40:52 [(-96.62, -23.59)]
14:40:52 [(-91.67, -21.47)]
14:40:52 [(-86.01, -17.22)]
14:40:52 [(-85.31, -15.1)]
14:40:52 [(-83.18, -11.57)]
14:40:52 [(-84.6, -8.74)]
14:40:52 [(-84.6, -5.91)]
14:40:52 [(-89.55, -3.79)]
14:40:52 [(-93.79, -0.96)]
14:40:52 [(-98.03, 1.87)]
14:40:52 [(-102.28, 6.11)]
14:40:53 [(-105.81, 12.47)]
14:40:53 [(-108.64, 20.96)]
14:40:53 [(-115.71, 29.44)]
14:40:53 [(-126.32, 38.64)]
14:40:53 [(-164.5, 71.16)]
14:40:53 [(-205.51, 100.86)]
14:40:53 [(-238.75, 138.34)]
14:40:53 [(-306.63, 200.56)]
14:40:53 [(-370.27, 274.1)]
14:40:53 [(-443.81, 333.5)]
14:40:53 [(-519.47, 385.12)]
14:40:54 [(-614.22, 426.13)]
14:40:54 [(-698.37, 479.16)]
14:40:54 [(-765.54, 546.34)]
14:40:54 [(-823.53, 605.74)]
14:40:54 [(-899.19, 670.08)]
14:40:54 [(-979.09, 730.19)]
14:40:54 [(-1039.19, 801.61)]
14:40:54 [(-1076.67, 880.09)]
14:40:54 [(-1109.2, 967.78)]
14:40:54 [(-1142.43, 1043.44)]
14:40:54 [(-1177.79, 1111.32)]
14:40:55 [(-1232.94, 1166.47)]
14:40:55 [(-1314.96, 1193.34)]
14:40:55 [(-1390.62, 1229.4)]
14:40:55 [(-1459.21, 1288.09)]
14:40:55 [(-1527.8, 1356.68)]
14:40:55 [(-1581.54, 1423.15)]
14:40:55 [(-1638.11, 1475.48)]
14:40:55 [(-1688.32, 1531.34)]
14:40:55 [(-1735.69, 1590.03)]
14:40:55 [(-1778.83, 1660.03)]
14:40:55 [(-1825.5, 1733.57)]
14:40:55 [(-1874.99, 1807.11)]
14:40:56 [(-1928.03, 1891.26)]
14:40:56 [(-1973.99, 1958.43)]
14:40:56 [(-2013.59, 2013.59)]
14:40:56 [(-2049.65, 2062.38)]
14:40:56 [(-2096.32, 2109.05)]
14:40:56 [(-2145.11, 2150.76)]
14:40:56 [(-2196.02, 2201.68)]
14:40:56 [(-2251.88, 2264.61)]
14:40:56 [(-2297.84, 2323.3)]
14:40:56 [(-2331.08, 2372.09)]
14:40:56 [(-2353.0, 2413.81)]
14:40:57 [(-2367.14, 2446.34)]
14:40:57 [(-2373.5, 2476.74)]
14:40:57 [(-2381.28, 2490.18)]
14:40:57 [(-2382.7, 2509.98)]
14:40:57 [(-2382.7, 2519.87)]
14:40:57 [(-2385.52, 2526.95)]
14:40:57 [(-2389.06, 2533.31)]
14:40:57 [(-2395.42, 2538.26)]
14:40:57 [(-2401.08, 2542.5)]
14:40:57 [(-2406.03, 2546.04)]
14:40:57 [(-2410.98, 2550.99)]
14:40:58 [(-2415.22, 2553.82)]
14:40:58 [(-2418.76, 2553.11)]
14:40:58 [(-2420.17, 2551.69)]
14:40:58 [(-2420.88, 2548.16)]
14:40:58 [(-2422.29, 2545.33)]
14:40:58 [(-2423.71, 2539.67)]
14:40:58 [(-2424.42, 2534.72)]
14:40:58 [(-2425.83, 2530.48)]
14:40:58 [(-2425.83, 2523.41)]
14:40:58 [(-2425.83, 2514.92)]
14:40:58 [(-2423.71, 2505.73)]
14:40:59 [(-2419.47, 2498.66)]
14:40:59 [(-2413.81, 2491.59)]
14:40:59 [(-2407.44, 2482.4)]
14:40:59 [(-2398.96, 2469.67)]
