Script started on 2024-04-29 14:06:23+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'True', 'radar2_en': 'False', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:07:39 [(-3459.0, 2936.0)]
14:07:39 [(-3456.0, 2994.0)]
14:07:39 [(-3454.0, 3045.0)]
14:07:39 [(-3451.0, 3089.0)]
14:07:39 [(-3448.0, 3127.0)]
14:07:39 [(-3447.0, 3143.0)]
14:07:39 [(-3445.0, 3158.0)]
14:07:40 [(-3444.0, 3172.0)]
14:07:40 [(-3443.0, 3184.0)]
14:07:40 [(-3443.0, 3195.0)]
14:07:40 [(-3442.0, 3205.0)]
14:07:40 [(-3441.0, 3214.0)]
14:07:40 [(-3440.0, 3223.0)]
14:07:55 [(-2498.0, 2257.0)]
14:07:55 [(-2556.0, 2195.0)]
14:07:55 [(-2519.0, 2168.0)]
14:07:55 [(-2495.0, 2144.0)]
14:07:55 [(-2472.0, 2110.0)]
14:07:55 [(-2424.0, 2038.0)]
14:07:55 [(-2353.0, 1980.0)]
14:07:55 [(-2293.0, 1917.0)]
14:07:56 [(-2237.0, 1844.0)]
14:07:56 [(-2179.0, 1773.0)]
14:07:56 [(-2136.0, 1697.0)]
14:07:56 [(-2117.0, 1607.0)]
14:07:56 [(-2114.0, 1531.0)]
14:07:56 [(-2106.0, 1462.0)]
14:07:56 [(-2102.0, 1390.0)]
14:07:56 [(-2080.0, 1327.0)]
14:07:56 [(-2015.0, 1271.0)]
14:07:56 [(-1920.0, 1228.0)]
14:07:56 [(-1829.0, 1165.0)]
14:07:57 [(-1790.0, 1081.0)]
14:07:57 [(-1737.0, 1002.0)]
14:07:57 [(-1651.0, 941.0)]
14:07:57 [(-1576.0, 865.0)]
14:07:57 [(-1482.0, 809.0)]
14:07:57 [(-1413.0, 755.0)]
14:07:57 [(-1348.0, 702.0)]
14:07:57 [(-1266.0, 648.0)]
14:07:57 [(-1158.0, 584.0)]
14:07:57 [(-1044.0, 518.0)]
14:07:57 [(-936.0, 445.0)]
14:07:58 [(-825.0, 369.0)]
14:07:58 [(-747.0, 296.0)]
14:07:58 [(-685.0, 226.0)]
14:07:58 [(-635.0, 165.0)]
14:07:58 [(-581.0, 128.0)]
14:07:58 [(-529.0, 98.0)]
14:07:58 [(-468.0, 75.0)]
14:07:58 [(-384.0, 59.0)]
14:07:58 [(-316.0, 39.0)]
14:07:58 [(-271.0, 19.0)]
14:07:58 [(-241.0, -2.0)]
14:07:58 [(-220.0, -23.0)]
14:07:59 [(-187.0, -26.0)]
14:07:59 [(-174.0, -38.0)]
14:07:59 [(-167.0, -53.0)]
14:07:59 [(-161.0, -78.0)]
14:07:59 [(-165.0, -155.0)]
14:07:59 [(-171.0, -214.0)]
14:07:59 [(-171.0, -256.0)]
14:07:59 [(-162.0, -286.0)]
14:07:59 [(-167.0, -313.0)]
14:07:59 [(-161.0, -323.0)]
14:07:59 [(-155.0, -335.0)]
14:08:00 [(-152.0, -350.0)]
14:08:00 [(-151.0, -366.0)]
14:08:00 [(-145.0, -373.0)]
14:08:00 [(-138.0, -381.0)]
14:08:00 [(-132.0, -386.0)]
14:08:00 [(-137.0, -394.0)]
14:08:00 [(-158.0, -413.0)]
14:08:00 [(-187.0, -435.0)]
14:08:00 [(-213.0, -455.0)]
14:08:00 [(-236.0, -473.0)]
14:08:00 [(-257.0, -489.0)]
14:08:01 [(-276.0, -503.0)]
14:08:01 [(-282.0, -508.0)]
14:08:01 [(-288.0, -513.0)]
14:08:01 [(-288.0, -515.0)]
14:08:01 [(-285.0, -514.0)]
14:08:01 [(-284.0, -514.0)]
14:08:01 [(-279.0, -512.0)]
14:08:01 [(-269.0, -508.0)]
14:08:01 [(-257.0, -507.0)]
14:08:01 [(-247.0, -505.0)]
14:08:01 [(-239.0, -502.0)]
14:08:02 [(-229.0, -499.0)]
14:08:02 [(-216.0, -495.0)]
14:08:02 [(-175.0, -483.0)]
14:08:02 [(-141.0, -476.0)]
14:08:02 [(-110.0, -470.0)]
14:08:02 [(-69.0, -466.0)]
14:08:02 [(-39.0, -463.0)]
14:08:02 [(-10.0, -451.0)]
