Script started on 2024-04-23 14:21:20+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:21:51 [(-935.0, 782.5)]
14:21:51 [(-953.67, 894.67)]
14:21:51 [(-997.33, 845.67)]
14:21:51 [(-1013.5, 615.75)]
14:21:51 [(-1032.75, 559.5)]
14:21:52 [(-1043.5, 500.5)]
14:21:52 [(-1051.75, 435.25)]
14:21:52 [(-1055.25, 364.25)]
14:21:52 [(-1047.5, 299.0)]
14:21:52 [(-1047.75, 227.5)]
14:21:52 [(-1047.5, 151.0)]
14:21:52 [(-1044.0, 68.0)]
14:21:52 [(-1047.0, -21.5)]
14:21:52 [(-1052.25, -114.5)]
14:21:52 [(-1043.0, -199.25)]
14:21:52 [(-1036.0, -284.75)]
14:21:53 [(-1035.25, -379.0)]
14:21:53 [(-1044.25, -466.75)]
14:21:53 [(-1058.25, -545.0)]
14:21:53 [(-1081.25, -617.75)]
14:21:53 [(-1108.0, -679.5)]
14:21:53 [(-1133.5, -729.0)]
14:21:53 [(-1140.0, -769.0)]
14:21:53 [(-1131.5, -810.5)]
14:21:53 [(-1116.5, -852.25)]
14:21:53 [(-1101.25, -888.5)]
14:21:53 [(-1086.0, -924.25)]
14:21:54 [(-1062.25, -949.5)]
14:21:54 [(-1044.0, -977.25)]
14:21:54 [(-1026.75, -1007.0)]
14:21:54 [(-1012.75, -1032.75)]
14:21:54 [(-1007.75, -1042.0)]
14:21:54 [(-1002.0, -1042.5)]
14:21:54 [(-1000.0, -1046.5)]
14:21:54 [(-994.25, -1056.75)]
14:21:54 [(-986.5, -1062.75)]
14:21:54 [(-977.0, -1067.5)]
14:21:54 [(-964.25, -1067.25)]
14:21:55 [(-945.75, -1072.5)]
14:21:55 [(-927.5, -1077.25)]
14:21:55 [(-903.25, -1081.25)]
14:21:55 [(-873.75, -1087.25)]
14:21:55 [(-818.75, -1101.5)]
14:21:55 [(-755.75, -1108.75)]
14:21:55 [(-683.0, -1116.75)]
14:21:55 [(-605.75, -1128.25)]
14:21:55 [(-541.75, -1130.5)]
14:21:55 [(-469.25, -1131.0)]
14:21:55 [(-391.25, -1125.0)]
14:21:56 [(-311.25, -1124.5)]
14:21:56 [(-219.75, -1131.0)]
14:21:56 [(-127.25, -1138.75)]
14:21:56 [(-35.25, -1141.5)]
14:21:56 [(85.75, -1147.0)]
14:21:56 [(186.0, -1146.75)]
14:21:56 [(284.5, -1146.75)]
14:21:56 [(365.0, -1165.0)]
14:21:56 [(442.0, -1182.25)]
14:21:56 [(529.5, -1176.75)]
14:21:56 [(618.75, -1169.0)]
14:21:57 [(697.25, -1158.0)]
14:21:57 [(775.75, -1145.25)]
14:21:57 [(852.0, -1128.75)]
14:21:57 [(925.5, -1113.5)]
14:21:57 [(986.75, -1098.25)]
14:21:57 [(1050.75, -1084.5)]
14:21:57 [(1113.0, -1066.25)]
14:21:57 [(1153.75, -1051.75)]
14:21:57 [(1190.75, -1048.25)]
