Script started on 2024-04-29 14:51:01+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Connected to MQTT broker.
14:51:50 [(2.0, -20.0)]
14:51:50 [(1.5, -15.5)]
14:51:51 [(1.5, -14.5)]
14:51:51 [(2.0, -16.0)]
14:51:51 [(2.5, -22.5)]
14:51:51 [(4.5, -27.5)]
14:51:51 [(7.5, -29.0)]
14:51:51 [(9.0, -27.5)]
14:51:51 [(10.5, -24.0)]
14:51:51 [(11.0, -21.5)]
14:51:51 [(12.0, -22.0)]
14:51:51 [(11.5, -20.5)]
14:51:51 [(12.5, -21.0)]
14:51:52 [(13.0, -22.0)]
14:51:52 [(14.0, -25.0)]
14:51:52 [(13.5, -28.0)]
14:51:52 [(9.5, -28.0)]
14:51:52 [(5.0, -27.0)]
14:51:52 [(3.0, -26.5)]
14:51:52 [(3.5, -26.5)]
14:51:52 [(5.0, -27.0)]
14:51:52 [(7.5, -29.0)]
14:51:52 [(10.0, -31.0)]
14:51:52 [(12.0, -29.5)]
14:51:53 [(13.0, -27.5)]
14:51:53 [(16.5, -25.5)]
14:51:53 [(19.5, -23.5)]
14:51:53 [(21.5, -21.0)]
14:51:53 [(22.0, -17.5)]
14:51:53 [(20.5, -13.0)]
14:51:53 [(18.5, -8.0)]
14:51:53 [(18.0, -5.0)]
14:51:53 [(18.5, -5.5)]
14:51:53 [(18.5, -4.5)]
14:51:53 [(17.5, -5.5)]
14:51:54 [(15.5, -10.0)]
14:51:54 [(13.5, -14.0)]
14:51:54 [(12.0, -18.0)]
14:51:54 [(11.5, -16.0)]
14:51:54 [(10.0, -13.0)]
14:51:54 [(9.0, -12.0)]
14:51:54 [(9.0, -9.5)]
14:51:54 [(7.5, -8.5)]
14:51:54 [(5.0, -8.5)]
14:51:54 [(3.0, -7.5)]
14:51:54 [(-3.5, -2.5)]
14:51:55 [(-9.5, 2.5)]
14:51:55 [(-14.0, 6.5)]
14:51:55 [(-19.5, 9.5)]
14:51:55 [(-26.5, 12.0)]
14:51:55 [(-31.5, 14.5)]
14:51:55 [(-35.5, 16.0)]
14:51:55 [(-36.5, 15.5)]
14:51:55 [(-36.0, 13.0)]
14:51:55 [(-34.0, 11.0)]
14:51:55 [(-32.5, 9.0)]
14:51:55 [(-32.0, 6.5)]
14:51:56 [(-32.5, 3.0)]
14:51:56 [(-32.0, 0.0)]
14:51:56 [(-32.0, -1.0)]
14:51:56 [(-32.0, -5.0)]
14:51:56 [(-32.0, -7.5)]
14:51:56 [(-32.0, -8.5)]
14:51:56 [(-30.5, -9.5)]
14:51:56 [(-28.0, -13.5)]
14:51:56 [(-24.0, -15.5)]
14:51:56 [(-17.5, -15.5)]
14:51:56 [(-10.0, -15.0)]
14:51:56 [(-1.5, -17.0)]
14:51:57 [(8.0, -20.5)]
14:51:57 [(18.5, -24.0)]
14:51:57 [(42.5, -34.5)]
14:51:57 [(62.5, -42.0)]
14:51:57 [(84.0, -44.0)]
14:51:57 [(105.5, -43.5)]
14:51:57 [(137.5, -39.0)]
14:51:57 [(174.0, -41.0)]
14:51:57 [(212.0, -46.5)]
14:51:57 [(260.0, -50.5)]
14:51:57 [(290.5, -46.0)]
14:51:58 [(315.5, -47.5)]
14:51:58 [(335.0, -47.5)]
14:51:58 [(345.0, -45.5)]
14:51:58 [(355.5, -44.0)]
14:51:58 [(369.0, -42.0)]
14:51:58 [(381.0, -39.5)]
14:51:58 [(396.5, -42.0)]
14:51:58 [(413.0, -45.5)]
14:51:58 [(428.5, -49.5)]
14:51:58 [(442.5, -52.5)]
14:51:58 [(455.0, -55.5)]
14:51:59 [(459.5, -52.5)]
14:51:59 [(462.0, -46.0)]
14:51:59 [(461.5, -33.5)]
14:51:59 [(461.0, -15.5)]
14:51:59 [(458.5, 24.0)]
14:51:59 [(457.0, 64.5)]
14:51:59 [(454.0, 130.5)]
14:51:59 [(450.5, 186.5)]
14:51:59 [(445.0, 235.0)]
14:51:59 [(436.5, 287.5)]
14:51:59 [(437.5, 345.0)]
14:52:00 [(434.5, 429.5)]
14:52:00 [(441.0, 520.0)]
14:52:00 [(457.5, 633.0)]
14:52:00 [(472.0, 718.0)]
14:52:00 [(488.0, 798.0)]
14:52:00 [(499.5, 864.0)]
14:52:00 [(510.0, 921.0)]
14:52:00 [(504.5, 954.5)]
14:52:00 [(502.5, 963.0)]
14:52:00 [(498.0, 979.5)]
14:52:00 [(494.5, 996.0)]
14:52:01 [(486.0, 1006.0)]
14:52:01 [(477.5, 1010.5)]
14:52:01 [(467.5, 1013.0)]
14:52:01 [(459.5, 1014.0)]
14:52:01 [(450.5, 1015.5)]
14:52:01 [(426.5, 1018.0)]
14:52:01 [(399.5, 1018.5)]
14:52:01 [(351.5, 1016.0)]
14:52:01 [(302.5, 1015.0)]
14:52:01 [(228.5, 1010.0)]
14:52:01 [(95.0, 1003.0)]
14:52:02 [(-4.0, 1004.0)]
14:52:02 [(-88.0, 1002.5)]
14:52:02 [(-168.0, 991.5)]
14:52:02 [(-241.0, 986.0)]
14:52:02 [(-318.5, 979.0)]
14:52:02 [(-392.5, 967.0)]
14:52:02 [(-467.0, 964.0)]
14:52:02 [(-536.0, 977.0)]
14:52:02 [(-604.0, 1001.5)]
14:52:02 [(-667.5, 1027.0)]
14:52:02 [(-727.5, 1039.0)]
14:52:03 [(-773.0, 1037.0)]
